spotify_id,year,title,artist,peak_pos,popularity,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
03V14b8LSbVrdiZLuxzc6X,2003,Liquor To Like Her,"Hank Williams, Jr.",0,0,0.841,0.101,165.877,0.0908,0.103,0,4,0.595,9,175400,-5.631,0.928,1
03wKMRNYVvw6s9nm4I4jUS,2006,Wolf Like Me,TV On The Radio,0,0,0.8,0.492,176.047,0.0504,0.00175,0.00916,4,0.22,7,279293,-5.11,0.213,1
03xPHdTrkHY60ShUgrQPow,2009,Evergleam,Magnapop,0,0,0.795,0.111,131.561,0.0361,4.76E-05,0.573,4,0.404,0,180465,-5.383,0.669,1
03ZtlmARAMWhAgZSIs6Fes,2010,One In A Million,ne-yo,87,1,0.803,0.329,100.012,0.0364,0.123,2.42E-06,4,0.762,11,243227,-5.961,0.655,1
040JpqJGjU3u3s0VGfuC2R,2007,No Reins,Rascal Flatts,0,0,0.854,0.322,118,0.0445,0.00586,0,4,0.637,1,200507,-4.692,0.496,0
0447V6bjlw5ERYGu3BEBnB,2007,Buddy,musiq soulchild,36,1,0.839,0.0942,89.942,0.271,0.0534,0,4,0.735,6,223813,-4.705,0.834,0
047tBni5kKhs4Eqo38HZWa,2013,All In the Golden Afternoon,Various Artists,0,0,0.226,0.203,116.823,0.0542,0.986,0.0409,4,0.516,3,161253,-13.51,0.523,1
048fAgdSLnAbQZG1ePSUKb,2009,Roll With Me,montgomery gentry,33,1,0.648,0.144,142.159,0.0273,0.0533,0.00015,4,0.552,2,233933,-6.71,0.407,1
048thBsGA2IfiubeNWC0v2,2016,I'll Show You,justin bieber,19,1,0.615,0.193,191.541,0.0937,0.0426,1.67E-05,4,0.337,9,199973,-6.615,0.0665,0
049hT4kfymuYezj7COJxAQ,2014,Alchemy,Bill Patton,0,0,0.409,0.109,119.749,0.0299,0.743,0.778,4,0.667,1,217667,-12.476,0.0951,0
049tw2MgDBdrtzZQjqtcdh,2001,Funkin' Around,OutKast,0,0,0.944,0.307,106.096,0.12,0.536,2.8E-06,4,0.84,11,274013,-2.996,0.864,0
049V1aSofNvW906vGZgFsD,2014,Get On Your Knees,Nicki Minaj,0,0,0.445,0.116,144.02,0.0413,0.31,0,4,0.653,0,216493,-7.183,0.176,0
04aweMzj1HaG9jN5mwZPtD,2008,Coconut Juice,tyga,94,1,0.773,0.284,84.026,0.243,0.00118,0,4,0.565,2,199413,-5.121,0.397,1
04BSvYghzdxjSJNpee36er,2011,Monster,paramore,36,1,0.969,0.371,164.999,0.119,2.87E-05,0.000753,4,0.413,4,200147,-2.599,0.374,0
04ccQGJ1i8gL7JoeCPiJbv,2001,Don't Happen Twice,kenny chesney,26,1,0.708,0.0423,158.785,0.0301,0.00626,1.15E-05,4,0.499,7,203067,-7.029,0.617,1
04cxAqa9ZgLwvEskosNVsB,2014,XO,beyonce,45,1,0.792,0.313,170.085,0.26,0.171,1.28E-06,4,0.47,0,215947,-8.932,0.214,1
04fR7gxIY0VVhW6wZMoHpA,2004,I Wish,jo dee messina,75,1,0.515,0.0802,70.136,0.03,0.388,0,4,0.389,7,213547,-6.224,0.164,1
04gTvkivzArTTMG6ykrwep,2009,Halo / Walking On Sunshine,glee cast,40,1,0.91,0.137,193.886,0.113,0.0679,3.38E-06,4,0.242,9,125013,-5.19,0.253,1
04hWT5FjXZktVslS0LWNCO,2002,My Wicked Heart,W.A.S.P.,0,0,0.99,0.308,114.533,0.183,3.96E-05,0.000476,1,0.263,1,338000,-4.088,0.0406,1
04JPidkSFQbVZBVvy6CwY4,2002,Now That You're Near - Live,Hillsong Worship,0,0,0.966,0.452,117.99,0.0639,0.00691,1.48E-06,4,0.472,4,245067,-5.42,0.394,1
04NGX0b5Tgs7VsErfn5OA1,2005,Vitamin R (Leading Us Along),chevelle,68,1,0.88,0.204,95.023,0.0717,0.00465,6.02E-05,3,0.481,4,223173,-4.55,0.289,1
04sqzOH2jOLyJXb2I32lFy,2018,Switchin Time Zones,Raider Rocky,0,0,0.228,0.189,161.986,0.407,0.0542,0.833,4,0.696,8,248921,-13.461,0.28,1
04uistNIafvzVU7EOwDzGO,2009,This Time Baby,Jackie Moore,0,0,0.814,0.0531,124.382,0.0673,0.0812,0.000852,4,0.806,10,432840,-8.846,0.856,0
04VjzijOJo7N84i76Ib4LK,2001,Is She Conscious?,The Waterboys,0,0,0.67,0.162,154.362,0.0384,0.216,0.0131,4,0.337,0,280707,-7.095,0.247,1
04w9To8oYQ7Mz8l9H0r8h9,2017,Giant Woman,Steven Universe,0,0,0.245,0.108,82.686,0.0873,0.806,0,4,0.63,0,56401,-11.683,0.866,1
050iNgNKEUrJboOnH4Jhm6,2015,Wild Child,kenny chesney,56,1,0.633,0.164,148.984,0.0318,0.475,4.29E-06,4,0.586,3,189800,-7.688,0.445,1
054FusuZz5JkAywY1fRWFN,2002,Bard Of Armagh,Various Artists,0,0,0.285,0.189,150.034,0.0319,0.864,0.296,3,0.369,1,274427,-13.004,0.077,1
054ue8u2erwwGNgSIZLEPq,2013,Scream & Shout,will.i.am,3,1,0.617,0.143,130.032,0.0535,0.0453,0.000187,4,0.782,5,284413,-7.385,0.495,1
05c9F7dLDMz3a6KoPX9GAf,2009,In Venere Veritas,HIM,0,0,0.881,0.0627,146.943,0.0481,0.000474,4.89E-06,4,0.486,8,215720,-3.551,0.695,1
05cXQMJcrM9msUYu11mOrs,2016,Alive,sia,56,1,0.752,0.102,98.88,0.056,0.289,0.000101,4,0.32,6,263893,-4.91,0.392,0
05DC8RcJIy2wnK8e1allaX,2011,Face The Hangman - Outtake / Remastered,Poison,0,0,0.963,0.842,146.085,0.0854,0.0383,0,4,0.504,3,199067,-4.163,0.584,1
05dSV0HIayKBQ2kF1aEvkb,2009,Dangerous,Kevin Gates,0,0,0.674,0.229,83.146,0.13,0.0185,0,4,0.712,1,211619,-6.763,0.646,0
05iNNBOYgTXTorF8sbsqzZ,2001,Bia' Bia',lil jon,94,1,0.639,0.0281,79.999,0.138,0.00111,0,4,0.796,8,232411,-8.265,0.711,1
