Track,Artist,Position,Peak,Last,Weeks,Year,Month,Week
Best Of Me,Mya Featuring Jadakiss,85.0,85.0,-,1.0,2000.0,4.0,15.0
Give Me You,Mary J. Blige,97.0,97.0,-,1.0,2000.0,4.0,15.0
This Time Around,Hanson,22.0,22.0,-,1.0,2000.0,4.0,22.0
Someday Out Of The Blue,Elton John,56.0,56.0,-,1.0,2000.0,4.0,22.0
Oops!...I Did It Again,Britney Spears,67.0,67.0,-,1.0,2000.0,4.0,22.0
Big Pimpin',Jay-Z Featuring UGK,69.0,69.0,-,1.0,2000.0,4.0,22.0
Broadway,Goo Goo Dolls,74.0,74.0,-,1.0,2000.0,4.0,22.0
Where I Wanna Be,Donell Jones,81.0,81.0,-,1.0,2000.0,4.0,22.0
It's So Hard,Big Punisher Featuring Donell Jones,96.0,96.0,-,1.0,2000.0,4.0,22.0
Bent,matchbox twenty,60.0,60.0,-,1.0,2000.0,4.0,29.0
Separated,Avant,62.0,62.0,-,1.0,2000.0,4.0,29.0
More,Trace Adkins,84.0,84.0,-,1.0,2000.0,4.0,29.0
Another Nine Minutes,Yankee Grey,86.0,86.0,-,1.0,2000.0,4.0,29.0
Flowers On The Wall,Eric Heatherly,95.0,95.0,-,1.0,2000.0,4.0,29.0
Back Here,BBMak,99.0,99.0,-,1.0,2000.0,4.0,29.0
(Hot S**t) Country Grammar,Nelly,100.0,100.0,-,1.0,2000.0,4.0,29.0
The Real Slim Shady,Eminem,70.0,70.0,-,1.0,2000.0,5.0,6.0
Let's Get Married,Jagged Edge,77.0,77.0,-,1.0,2000.0,5.0,6.0
It's Gonna Be Me,'N Sync,82.0,82.0,-,1.0,2000.0,5.0,6.0
Absolutely (Story Of A Girl),Nine Days,85.0,85.0,-,1.0,2000.0,5.0,6.0
Prayin' For Daylight,Rascal Flatts,87.0,87.0,-,1.0,2000.0,5.0,6.0
Nothing As It Seems,Pearl Jam,49.0,49.0,-,1.0,2000.0,5.0,13.0
"Jumpin', Jumpin'",Destiny's Child,74.0,74.0,-,1.0,2000.0,5.0,13.0
Some Things Never Change,Tim McGraw,76.0,76.0,-,1.0,2000.0,5.0,13.0
I Hope You Dance,Lee Ann Womack,83.0,83.0,-,1.0,2000.0,5.0,13.0
With Arms Wide Open,Creed,84.0,84.0,-,1.0,2000.0,5.0,13.0
I Disappear,Metallica,86.0,86.0,-,1.0,2000.0,5.0,13.0
Me Neither,Brad Paisley,87.0,87.0,-,1.0,2000.0,5.0,13.0
I'll Be,Reba McEntire,89.0,89.0,-,1.0,2000.0,5.0,13.0
Love Sets You Free,Kelly Price & Friends,92.0,92.0,-,1.0,2000.0,5.0,13.0
Desert Rose,Sting Featuring Cheb Mami,98.0,98.0,-,1.0,2000.0,5.0,13.0
Dance Tonight,Lucy Pearl,80.0,80.0,-,1.0,2000.0,5.0,20.0
Monica,Before Dark,95.0,95.0,-,1.0,2000.0,5.0,20.0
Shut Up,"Trick Daddy Featuring Duece Poppito, Trina, Co",99.0,99.0,-,1.0,2000.0,5.0,20.0
The One,Backstreet Boys,58.0,58.0,-,1.0,2000.0,5.0,27.0
I Need You,LeAnn Rimes,77.0,77.0,-,1.0,2000.0,5.0,27.0
